network,station,channel
SS,07111,DPZ
SS,09220,DP1
SS,16970,DP2
SS,10922,DP2
SS,10252,DPZ
SS,15576,DP1
SS,15907,DP1
SS,09431,DPZ
SS,04909,DPZ
SS,14764,DPZ
SS,10421,DP2
SS,16507,DP2
SS,10221,DP2
SS,10358,DP2
SS,15427,DPZ
SS,10454,DP1
SS,17542,DP1
SS,14753,DPZ
SS,08825,DPZ
SS,09574,DP2
SS,17024,DPZ
SS,10509,DP2
SS,15636,DPZ
SS,10199,DP1
SS,14537,DP1
SS,14605,DP1
SS,14976,DPZ
SS,18411,DP2
SS,17016,DP2
SS,04275,DPZ
SS,14625,DP1
SS,15967,DP2
SS,18411,DPZ
SS,10485,DPZ
SS,18839,DPZ
SS,10409,DP1
SS,17282,DPZ
SS,10845,DPZ
SS,17024,DP1
SS,14938,DP1
SS,18531,DP1
SS,04548,DPZ
SS,14938,DP2
SS,09309,DPZ
SS,10813,DP2
SS,10252,DP1
SS,17455,DP1
SS,04275,DP2
SS,18895,DP2
SS,14768,DPZ
SS,10721,DPZ
SS,10524,DPZ
SS,18596,DP1
SS,09220,DP1
SS,15730,DPZ
SS,10317,DPZ
SS,18352,DP1
SS,09806,DP2
SS,10430,DP1
SS,05283,DP1
SS,15249,DPZ
SS,10199,DPZ
SS,05230,DP1
SS,10430,DP1
SS,10776,DP2
SS,16707,DP2
SS,10899,DPZ
SS,10753,DP2
SS,15016,DPZ
SS,19744,DP1
SS,10406,DP1
SS,14625,DP1
SS,05179,DP1
SS,18940,DP2
SS,20193,DP1
SS,10740,DP2
SS,17853,DP1
SS,09332,DP2
SS,09914,DPZ
SS,10368,DPZ
SS,15672,DP1
SS,20247,DP2
SS,15367,DPZ
SS,05283,DP2
SS,10190,DP2
SS,04973,DP2
SS,05038,DP2
SS,10913,DPZ
SS,10317,DP1
SS,17683,DP2
SS,16798,DP1
SS,14461,DP1
SS,17952,DP2
SS,10898,DP1
SS,18843,DP1
SS,09654,DP2
SS,09332,DP2
SS,05179,DP1
SS,09275,DPZ
SS,15636,DP2
SS,10275,DP1
SS,10421,DP2
SS,15576,DP2
SS,16878,DP1
SS,15753,DP1
SS,16598,DPZ
SS,10505,DP1
SS,15367,DP2
SS,14768,DP2
SS,15288,DP1
SS,10817,DP2
SS,15730,DP1
SS,16694,DP1
SS,07499,DP1
SS,18042,DPZ
SS,10406,DPZ
SS,10294,DP1
SS,14972,DP1
SS,03659,DPZ
SS,10813,DPZ
SS,18272,DP2
SS,15869,DP2
SS,10890,DP2
SS,14648,DP1
SS,03761,DPZ
SS,17929,DP1
SS,04548,DP2
SS,10202,DP1
SS,14764,DP2
SS,08936,DP2
SS,09806,DP1
SS,09548,DP2
SS,15604,DPZ
SS,14565,DPZ
SS,14578,DPZ
SS,15016,DP2
SS,18411,DPZ
SS,10813,DP1
SS,10359,DP2
SS,17542,DP2
SS,17940,DP1
SS,10205,DPZ
SS,10935,DPZ
SS,15562,DP2
SS,09769,DPZ
SS,14764,DPZ
SS,05441,DP1
SS,18638,DP2
SS,10721,DP2
SS,10586,DPZ
SS,14753,DP2
SS,04973,DP1
SS,14479,DPZ
SS,10753,DPZ
SS,16870,DP2
SS,18272,DP2
SS,17130,DP1
SS,14537,DP2
SS,10763,DPZ
SS,10278,DP2
SS,18463,DPZ
SS,10485,DP2
SS,17544,DP1
SS,17952,DP1
SS,15367,DP1
SS,10190,DP1
SS,10358,DP2
SS,10737,DP2
SS,14753,DP1
SS,05322,DP1
SS,10330,DP2
SS,10915,DP2
SS,06585,DP1
SS,18539,DP2
SS,09548,DP2
SS,18839,DP1
SS,10817,DPZ
SS,09629,DPZ
SS,17024,DP1
SS,09515,DPZ
SS,10505,DPZ
SS,16798,DP1
SS,10330,DP1
SS,04916,DP1
SS,07499,DP2
SS,10899,DP2
SS,16598,DPZ
SS,14461,DP2
SS,17456,DP2
SS,15016,DP1
SS,17930,DPZ
SS,10759,DP2
SS,10867,DPZ
SS,15007,DP2
SS,09270,DPZ
SS,18638,DP2
SS,10935,DPZ
SS,16793,DPZ
SS,15367,DPZ
SS,03761,DPZ
SS,17952,DP1
SS,18157,DP1
SS,14768,DPZ
SS,10524,DP2
SS,10759,DP1
SS,17215,DP1
SS,18157,DPZ
SS,08936,DP2
SS,10841,DP1
SS,17930,DP2
SS,10304,DP1
SS,17227,DP2
SS,06569,DP1
SS,09304,DPZ
SS,10913,DP2
SS,18839,DP2
SS,17215,DPZ
SS,14565,DP2
SS,09268,DPZ
SS,14537,DP2
SS,10294,DP2
SS,16006,DPZ
SS,15350,DPZ
SS,17853,DP1
SS,09914,DPZ
SS,16878,DPZ
SS,17456,DPZ
SS,14837,DP2
SS,09501,DP2
SS,14648,DP1
SS,10430,DP1
SS,10359,DPZ
SS,15427,DPZ
SS,15672,DPZ
SS,17018,DPZ
SS,18839,DPZ
SS,15753,DP2
SS,05179,DPZ
SS,15007,DP2
SS,15576,DP2
SS,04909,DP1
SS,10252,DP1
SS,15636,DPZ
SS,14712,DP1
SS,06569,DP1
SS,14712,DPZ
SS,10798,DP1
SS,15753,DP1
SS,18462,DPZ
SS,06524,DPZ
SS,09275,DP1
SS,10181,DPZ
SS,10813,DPZ
SS,09637,DP2
SS,10197,DP2
SS,05179,DPZ
SS,09501,DPZ
SS,06569,DP1
SS,10181,DPZ
SS,15636,DP2
SS,04548,DPZ
SS,14564,DP1
SS,16490,DPZ
SS,19744,DP2
SS,17016,DP1
SS,04548,DPZ
SS,18940,DP1
SS,16814,DP1
SS,09448,DPZ
SS,10841,DP1
SS,20193,DP1
SS,14764,DP2
SS,17875,DP1
SS,04909,DP1
SS,16798,DP2
SS,07111,DPZ
SS,09309,DP1
SS,16793,DP2
SS,09220,DP1
SS,17940,DPZ
SS,10368,DPZ
SS,14768,DP1
SS,18272,DPZ
SS,10820,DP2
SS,10409,DP2
SS,10386,DP2
SS,10430,DP2
SS,09275,DP1
SS,14837,DPZ
SS,10359,DP2
SS,14479,DP1
SS,17683,DPZ
SS,17442,DP2
SS,10820,DP2
SS,15016,DP2
SS,18839,DPZ
SS,09275,DPZ
SS,10706,DP2
SS,10177,DP1
SS,15007,DP1
SS,18739,DP2
SS,10215,DPZ
SS,18940,DPZ
SS,20193,DP1
SS,18839,DPZ
SS,16507,DP2
SS,17875,DPZ
SS,04909,DP1
SS,15729,DP2
SS,19267,DP1
SS,18839,DPZ
SS,10867,DP1
SS,15157,DP2
SS,09268,DP2
SS,16814,DPZ
SS,18463,DPZ
SS,10202,DPZ
SS,17613,DP1
SS,10798,DP1
SS,10190,DPZ
SS,09914,DP1
SS,10706,DP2
SS,09529,DPZ
SS,10935,DP1
SS,17534,DP1
SS,10181,DP2
SS,15869,DP2
SS,10872,DP1
SS,17940,DPZ
SS,10915,DP2
SS,10358,DPZ
SS,15729,DPZ
SS,10190,DP2
SS,10190,DP1
SS,14537,DP1
SS,16878,DP1
SS,10800,DP2
SS,15255,DP1
SS,16870,DP2
SS,14768,DP1
SS,10899,DP1
SS,17952,DP2
SS,15249,DP1
SS,10857,DP1
SS,04973,DP2
SS,10778,DP1
SS,14837,DP2
SS,15255,DPZ
SS,18308,DP1
SS,10857,DP1
SS,15672,DP1
SS,10915,DP2
SS,17877,DP1
SS,18042,DP2
SS,16006,DP1
SS,20193,DP2
SS,18011,DP2
SS,16507,DP1
SS,10820,DP1
SS,10495,DPZ
SS,03761,DP1
SS,17724,DPZ
SS,09309,DP2
SS,14972,DP1
SS,14753,DP1
SS,15636,DP1
SS,18157,DP1
SS,10181,DP1
SS,17929,DPZ
SS,17858,DP2
SS,04548,DP1
SS,10820,DPZ
SS,05283,DPZ
SS,17683,DP2
SS,10845,DPZ
SS,09574,DPZ
SS,15729,DPZ
SS,10586,DP2
SS,10915,DP1
SS,10591,DP1
SS,10359,DP1
SS,17542,DPZ
SS,18531,DPZ
SS,05230,DPZ
SS,10922,DP1
SS,16707,DP2
SS,10330,DPZ
SS,10222,DP1
SS,10275,DP2
SS,10867,DP1
SS,18839,DPZ
SS,17455,DP1
SS,14565,DP1
SS,16798,DP2
SS,09501,DP2
SS,10199,DP1
SS,14479,DPZ
SS,10800,DP2
SS,17130,DPZ
SS,05338,DP2
SS,10817,DPZ
SS,18463,DP2
SS,18536,DP2
SS,16694,DP1
SS,18011,DP2
SS,18843,DPZ
SS,10304,DP2
SS,17130,DPZ
SS,17223,DPZ
SS,10691,DP1
SS,10820,DPZ
SS,18011,DP1
SS,10524,DPZ
SS,15576,DPZ
SS,10368,DPZ
SS,10913,DPZ
SS,17542,DP1
SS,14461,DP1
SS,08825,DP2
SS,10915,DP1
SS,14564,DPZ
SS,16878,DPZ
SS,10275,DPZ
SS,17215,DPZ
SS,10813,DP2
SS,10495,DP2
SS,10721,DPZ
SS,10368,DP2
SS,09448,DP1
SS,15249,DPZ
SS,10691,DPZ
SS,10691,DPZ
SS,18411,DP1
SS,17521,DPZ
SS,06569,DP2
SS,08825,DPZ
SS,10509,DPZ
SS,14764,DP1
SS,05038,DPZ
SS,15729,DP2
SS,17130,DP2
SS,14479,DPZ
SS,09220,DP2
SS,10188,DP2
SS,10740,DP2
SS,10841,DPZ
SS,17373,DP1
SS,10705,DPZ
SS,17534,DP2
SS,09220,DP1
SS,09410,DP2
SS,15562,DPZ
SS,10691,DP1
SS,09574,DPZ
SS,09548,DP1
SS,14625,DP1
SS,17130,DPZ
SS,18157,DPZ
SS,09654,DPZ
SS,10454,DPZ
SS,10485,DP1
SS,14938,DP2
SS,05322,DP1
SS,10935,DPZ
SS,18463,DP2
SS,05322,DPZ
SS,10421,DP1
SS,10753,DPZ
SS,06569,DPZ
SS,18839,DPZ
SS,18340,DPZ
SS,18843,DP1
SS,14648,DP1
SS,17875,DP2
SS,18352,DP1
SS,10188,DP2
SS,05322,DP1
SS,09806,DP1
SS,16694,DP1
SS,10721,DPZ
SS,16793,DP2
SS,10485,DPZ
SS,03659,DP1
SS,10495,DP1
SS,14461,DP2
SS,17875,DP2
SS,16798,DP1
SS,10691,DP2
SS,16814,DP1
SS,10901,DPZ
SS,10935,DP2
SS,16798,DP2
SS,16507,DP1
SS,10893,DP1
SS,17930,DPZ
SS,18011,DP1
SS,04973,DP2
SS,17521,DP1
SS,09332,DPZ
SS,09304,DP1
SS,10893,DP2
SS,18365,DP2
SS,09637,DP2
SS,20247,DP2
SS,14768,DP2
SS,10913,DPZ
SS,17853,DP1
SS,09629,DP1
SS,10197,DPZ
SS,15350,DP1
SS,10304,DP2
SS,10277,DPZ
SS,10485,DPZ
SS,17613,DP2
SS,10205,DP2
SS,16788,DPZ
SS,10421,DP2
SS,15869,DP1
SS,15016,DPZ
SS,09304,DPZ
SS,14648,DP1
SS,14768,DP2
SS,14712,DP2
SS,15729,DP2
SS,09548,DP2
SS,09270,DP1
SS,15288,DP1
SS,14625,DP1
SS,14578,DP2
SS,16490,DP2
SS,10359,DP1
SS,10485,DP2
SS,18462,DP1
SS,14461,DP2
SS,10820,DP1
SS,08936,DP1
SS,10857,DPZ
SS,10721,DP1
SS,16870,DP2
SS,10304,DP2
SS,10358,DP1
SS,15248,DP2
SS,10358,DPZ
SS,04548,DP1
SS,20193,DPZ
SS,09654,DP2
SS,10368,DPZ
SS,16970,DP2
SS,15562,DP2
SS,15288,DPZ
SS,16970,DPZ
SS,14457,DP1
SS,15636,DP2
SS,20247,DP2
SS,18596,DPZ
SS,10753,DPZ
SS,09515,DP1
SS,18940,DP1
SS,10778,DP1
SS,09218,DP1
SS,17016,DP1
SS,10737,DP1
SS,07357,DPZ
SS,10817,DP1
SS,10275,DPZ
SS,16490,DPZ
SS,10509,DP2
SS,04909,DP1
SS,10813,DP1
SS,17227,DP1
SS,15255,DP2
SS,10505,DP2
SS,19267,DP1
SS,10841,DPZ
SS,17875,DPZ
SS,17940,DPZ
SS,09275,DPZ
SS,18596,DP2
SS,09309,DPZ
SS,09574,DP2
SS,17227,DP2
SS,04548,DP1
SS,18739,DP2
SS,18011,DP1
SS,10778,DP1
SS,14564,DPZ
SS,10845,DPZ
SS,15967,DP2
SS,10922,DP1
SS,17282,DP1
SS,14565,DP1
SS,10706,DP2
SS,17273,DP2
SS,17613,DPZ
SS,10872,DP1
SS,10916,DP2
SS,15884,DP1
SS,17130,DP2
SS,10294,DP2
SS,18462,DP1
SS,10215,DPZ
SS,10830,DP2
SS,16203,DPZ
SS,04548,DPZ
SS,18308,DPZ
SS,10706,DP1
SS,09501,DPZ
SS,17858,DP2
SS,09275,DP1
SS,17858,DP2
SS,16970,DP1
SS,15678,DPZ
SS,09629,DP1
SS,10199,DP1
SS,17456,DP2
SS,15288,DPZ
SS,17875,DP2
SS,10373,DP2
SS,16203,DP2
SS,10359,DP2
SS,05038,DPZ
SS,10891,DPZ
SS,09529,DP2
SS,16788,DP1
SS,05322,DPZ
SS,17215,DP2
SS,09275,DP2
SS,09548,DPZ
SS,17875,DP1
SS,14972,DP2
SS,10740,DP2
SS,15730,DPZ
SS,17878,DPZ
SS,18011,DP2
SS,10505,DP2
SS,16507,DP1
SS,10867,DP2
SS,14976,DPZ
SS,18157,DP2
SS,14578,DP1
SS,20247,DPZ
SS,15636,DP1
SS,10406,DP2
SS,17227,DPZ
SS,17215,DPZ
SS,15157,DP1
SS,17521,DPZ
SS,16793,DP1
SS,08825,DP2
SS,09431,DPZ
SS,08825,DP1
SS,07499,DP1
SS,14712,DPZ
SS,03659,DP2
SS,17859,DP1
SS,04973,DP2
SS,10830,DPZ
SS,09410,DPZ
SS,17952,DP2
SS,10399,DP1
SS,10721,DP1
SS,09448,DP2
SS,07357,DP2
SS,10915,DPZ
SS,17929,DP2
SS,16684,DP1
SS,09529,DPZ
SS,10586,DP2
SS,10358,DP1
SS,10222,DP1
SS,16970,DPZ
SS,17724,DP2
SS,10800,DPZ
SS,09769,DPZ
SS,17930,DP2
SS,10485,DPZ
SS,16814,DPZ
SS,10913,DPZ
SS,10800,DPZ
SS,18352,DP1
SS,10753,DPZ
SS,17724,DP2
SS,14976,DP1
SS,10759,DP1
SS,14768,DP1
SS,14625,DP1
SS,14972,DP2
SS,16707,DP2
SS,10221,DPZ
SS,17809,DP1
SS,10820,DPZ
SS,04275,DP1
SS,10845,DP1
SS,09304,DPZ
SS,18352,DP1
SS,18531,DPZ
SS,10817,DPZ
SS,14648,DP1
SS,05038,DP1
SS,05441,DPZ
SS,10177,DP1
SS,17875,DPZ
SS,10430,DP1
SS,18340,DP2
SS,10759,DP2
SS,09508,DP1
SS,15255,DP1
SS,10813,DPZ
SS,10721,DP1
SS,10190,DP2
SS,17282,DPZ
SS,10317,DPZ
SS,17456,DPZ
SS,10759,DP1
SS,16788,DP2
SS,10190,DP2
SS,17273,DP1
SS,15636,DP1
SS,10252,DP1
SS,18739,DP1
SS,18365,DPZ
SS,10759,DP1
SS,17683,DPZ
SS,10202,DP1
SS,10252,DP1
SS,17930,DPZ
SS,18308,DPZ
SS,09637,DP2
SS,10485,DP2
SS,05230,DP2
SS,10509,DP1
SS,09629,DP1
SS,10586,DPZ
SS,10399,DP1
SS,09309,DP2
SS,18839,DPZ
SS,18462,DP1
SS,15753,DP1
SS,18042,DPZ
SS,14411,DP1
SS,16694,DPZ
SS,17521,DP1
SS,16970,DP2
SS,18365,DPZ
SS,15967,DP2
SS,04909,DPZ
SS,10509,DP2
SS,10358,DP1
SS,10586,DP2
SS,19744,DP2
SS,17724,DP2
SS,15678,DP1
SS,15350,DP1
SS,15255,DPZ
SS,09309,DPZ
SS,10740,DP1
SS,10721,DPZ
SS,10857,DP2
SS,10813,DPZ
SS,10454,DP2
SS,15007,DPZ
SS,18157,DP1
SS,10373,DP2
SS,18340,DP1
SS,15604,DP2
SS,18539,DP1
SS,17858,DP2
SS,18596,DPZ
SS,14938,DP2
SS,18042,DP1
SS,15562,DPZ
SS,05038,DP1
SS,14648,DPZ
SS,09806,DP2
SS,10181,DP1
SS,18638,DPZ
SS,15678,DPZ
SS,10406,DP1
SS,10798,DP2
SS,10706,DP2
SS,10221,DP2
SS,10901,DP2
SS,16788,DP1
SS,10891,DP1
SS,18411,DP2
SS,18596,DPZ
SS,17809,DPZ
SS,14411,DP2
SS,15427,DP2
SS,16006,DP1
SS,14565,DPZ
SS,20193,DPZ
SS,10706,DP2
SS,16490,DP1
SS,10915,DPZ
SS,18940,DP1
SS,15730,DP2
SS,10317,DP1
SS,14564,DPZ
SS,17016,DP2
SS,10763,DP2
SS,17892,DP2
SS,06569,DP1
SS,15576,DP2
SS,17282,DP2
SS,09501,DP2
SS,10916,DPZ
SS,14712,DP2
SS,18895,DP2
SS,10913,DPZ
SS,10891,DPZ
SS,15869,DPZ
SS,10278,DP2
SS,17683,DP2
SS,18462,DPZ
SS,09769,DPZ
SS,17877,DPZ
SS,15678,DPZ
SS,10430,DP1
SS,10721,DP1
SS,05322,DP1
SS,10177,DP2
SS,10935,DP1
SS,17442,DP1
SS,16870,DP2
SS,10359,DPZ
SS,16707,DP2
SS,18940,DPZ
SS,10330,DPZ
SS,17273,DP2
SS,18843,DP1
SS,17809,DPZ
SS,06585,DP1
SS,17018,DPZ
SS,16694,DP1
SS,15427,DP1
SS,18739,DP2
SS,14625,DPZ
SS,14537,DP1
SS,10753,DPZ
SS,14599,DPZ
SS,18739,DP2
SS,10753,DPZ
SS,09574,DPZ
SS,10359,DPZ
SS,17877,DPZ
SS,10915,DP2
SS,09637,DP1
SS,05038,DP2
SS,05283,DP2
SS,16598,DP1
SS,17282,DPZ
SS,14753,DP1
SS,17724,DP1
SS,14972,DP2
SS,09806,DP1
SS,10399,DP2
SS,18308,DPZ
SS,16203,DP2
SS,17018,DP1
SS,17024,DP1
SS,04916,DP1
SS,17215,DPZ
SS,09309,DP1
SS,10586,DPZ
SS,15427,DP2
SS,09806,DP1
SS,09508,DP1
SS,15427,DP1
SS,14712,DP1
SS,10221,DP1
SS,14712,DP1
SS,10190,DP2
SS,10277,DP1
SS,09431,DP1
SS,09309,DP2
SS,18940,DPZ
SS,10813,DPZ
SS,15636,DPZ
SS,18011,DPZ
SS,07499,DPZ
SS,18011,DP1
SS,14768,DP2
SS,04916,DPZ
SS,18463,DPZ
SS,17853,DPZ
SS,16970,DP2
SS,14712,DPZ
SS,03761,DPZ
SS,10177,DP1
SS,20193,DP2
SS,09637,DP1
SS,10215,DP1
SS,17929,DP2
SS,10215,DP2
SS,10800,DP2
SS,07357,DP1
SS,10430,DP1
SS,10913,DPZ
SS,15249,DPZ
SS,10294,DP2
SS,10190,DP2
SS,10495,DP1
SS,10330,DP1
SS,17016,DPZ
SS,04916,DP1
SS,10778,DPZ
SS,16415,DP2
SS,03761,DPZ
SS,14625,DP2
SS,18042,DP1
SS,04275,DPZ
SS,17273,DP1
SS,10891,DP1
SS,14837,DP1
SS,10740,DPZ
SS,14565,DP1
SS,10199,DP2
SS,05322,DP2
SS,10872,DPZ
SS,14753,DP2
SS,09448,DP2
SS,17875,DP2
SS,05179,DP1
SS,15367,DP2
SS,18895,DP1
SS,17952,DP2
SS,17683,DPZ
SS,10820,DP2
SS,05441,DP2
SS,17940,DP2
SS,10275,DPZ
SS,10373,DP1
SS,10817,DPZ
SS,09914,DP2
SS,03659,DP1
SS,05338,DP2
SS,18462,DP2
SS,10277,DPZ
SS,17282,DP2
SS,09574,DP1
SS,10188,DPZ
SS,10776,DPZ
SS,15907,DP2
SS,17930,DPZ
SS,04916,DPZ
SS,16788,DPZ
SS,10691,DP1
SS,15604,DPZ
SS,10359,DP1
SS,17892,DP2
SS,16415,DP1
SS,10899,DP1
SS,17534,DP2
SS,08936,DPZ
SS,07111,DP1
SS,15255,DP1
SS,10820,DP1
SS,10399,DP1
SS,09529,DPZ
SS,10205,DP1
SS,17683,DP2
SS,09654,DP1
SS,04909,DP2
SS,15672,DPZ
SS,19744,DPZ
SS,15636,DP1
SS,10872,DP2
SS,17929,DPZ
SS,03761,DP1
SS,14753,DP2
SS,10737,DPZ
SS,15753,DP1
SS,16814,DPZ
SS,15678,DP1
SS,15350,DPZ
SS,15678,DP1
SS,18539,DPZ
SS,15367,DP1
SS,10872,DPZ
SS,16598,DP1
SS,16203,DP2
SS,16980,DP1
SS,10705,DP2
SS,17282,DP1
SS,18365,DP2
SS,04275,DP2
SS,15576,DP2
SS,15157,DP2
SS,10913,DP2
SS,18308,DP2
SS,09914,DPZ
SS,10454,DPZ
SS,16878,DPZ
SS,17952,DP2
SS,18272,DP2
SS,16490,DPZ
SS,10430,DP2
SS,10820,DP2
SS,15007,DP1
SS,10181,DP1
SS,14837,DP1
SS,14578,DP2
SS,14837,DP1
SS,05230,DP1
SS,18940,DP2
SS,10691,DP2
SS,17227,DPZ
SS,18411,DP1
SS,17892,DP2
SS,10505,DPZ
SS,18739,DP1
SS,09228,DPZ
SS,10776,DP2
SS,14764,DPZ
SS,10197,DP2
SS,10913,DPZ
SS,17024,DPZ
SS,10252,DP2
SS,09501,DP2
SS,18463,DP2
SS,04909,DP1
SS,16694,DPZ
SS,15576,DP2
SS,09501,DP1
SS,10890,DP1
SS,09574,DP2
SS,16203,DP1
SS,17373,DP1
SS,17223,DP2
SS,14753,DP2
SS,06524,DP2
SS,07111,DP2
SS,14768,DP1
SS,09508,DP2
SS,20193,DP2
SS,15248,DPZ
SS,18739,DP2
SS,17683,DPZ
SS,10406,DP1
SS,10935,DP2
SS,09309,DP2
SS,10386,DP2
SS,10205,DP1
SS,10691,DPZ
SS,09637,DP2
SS,17683,DP1
SS,16788,DPZ
SS,09309,DPZ
SS,10830,DP2
SS,05322,DP2
SS,08825,DP2
SS,10177,DP2
SS,17683,DP1
SS,18042,DP1
SS,18638,DP2
SS,09574,DP1
SS,17544,DP2
SS,19744,DPZ
SS,14461,DP1
SS,10205,DPZ
SS,10252,DPZ
SS,10505,DP1
SS,17442,DPZ
SS,16415,DP2
SS,17892,DPZ
SS,16970,DP2
SS,17724,DPZ
SS,10830,DP2
SS,17456,DP2
SS,10935,DPZ
SS,10915,DP1
SS,10181,DP2
SS,17016,DPZ
SS,10759,DP1
SS,14457,DP1
SS,09304,DP2
SS,15678,DPZ
SS,15869,DP1
SS,17282,DPZ
SS,15967,DPZ
SS,15255,DP1
SS,10841,DP2
SS,10891,DPZ
SS,18352,DP1
SS,15753,DPZ
SS,10294,DP2
SS,10891,DP2
SS,15753,DP1
SS,07111,DPZ
SS,10181,DPZ
SS,10190,DP1
SS,10495,DPZ
SS,17877,DP2
SS,17875,DPZ
SS,17853,DP1
SS,09448,DP2
SS,09332,DPZ
SS,10721,DPZ
SS,09769,DPZ
SS,05038,DP1
SS,18638,DPZ
SS,14712,DP1
SS,10524,DP2
SS,16694,DPZ
SS,17373,DP1
SS,18839,DP2
SS,09228,DP2
SS,16870,DPZ
SS,10841,DPZ
SS,16006,DP2
SS,19267,DP2
SS,10737,DP2
SS,17542,DP2
SS,10841,DP2
SS,09515,DPZ
SS,05441,DP2
SS,10935,DP1
SS,10222,DPZ
SS,10817,DPZ
SS,15636,DPZ
SS,10190,DPZ
SS,17952,DP1
SS,09268,DP2
SS,10277,DPZ
SS,18011,DPZ
SS,17858,DP1
SS,14938,DP1
SS,10454,DPZ
SS,17016,DPZ
SS,05230,DP2
SS,17273,DP2
SS,09508,DP1
SS,09629,DP1
SS,18042,DPZ
SS,18839,DPZ
SS,17018,DP1
SS,17892,DPZ
SS,10901,DPZ
SS,10705,DPZ
SS,14938,DP2
SS,17683,DP1
SS,09410,DPZ
SS,16707,DP1
SS,19744,DP2
SS,15869,DP1
SS,18157,DPZ
SS,15562,DP2
SS,04909,DP2
SS,10358,DP2
SS,09769,DP1
SS,18839,DP2
SS,09654,DPZ
SS,18365,DPZ
SS,10205,DP2
SS,10857,DPZ
SS,10177,DP1
SS,17544,DP1
SS,17024,DP1
SS,17215,DP1
SS,14461,DP1
SS,17130,DP1
SS,17544,DP1
SS,17859,DPZ
SS,18411,DP2
SS,10901,DP1
SS,09637,DPZ
SS,18539,DP1
SS,14837,DP1
SS,16878,DP1
SS,17442,DP2
SS,10373,DPZ
SS,17227,DP1
SS,10776,DPZ
SS,10817,DP2
SS,14938,DP2
SS,16694,DP1
SS,10737,DP1
SS,07111,DPZ
SS,16814,DPZ
SS,14712,DP2
SS,15255,DP1
SS,17930,DP1
SS,17892,DP2
SS,09529,DP2
SS,14764,DP2
SS,08825,DP2
SS,15562,DP2
SS,18272,DP1
SS,10368,DP2
SS,10358,DP1
SS,10230,DP1
SS,09501,DPZ
SS,15576,DPZ
SS,18940,DP2
SS,17613,DP2
SS,15730,DP1
SS,08825,DP1
SS,10205,DPZ
SS,14605,DP2
SS,09228,DP2
SS,10188,DP2
SS,10252,DP1
SS,10199,DP1
SS,20247,DP2
SS,10830,DP2
SS,16870,DP1
SS,20193,DPZ
SS,15562,DP1
SS,19744,DPZ
SS,10277,DPZ
SS,18463,DPZ
SS,18042,DP1
SS,10737,DP1
SS,10798,DP1
SS,08936,DP1
SS,10181,DP1
SS,14565,DPZ
SS,07111,DP2
SS,10830,DP1
SS,16598,DP2
SS,18340,DP1
SS,05441,DP2
SS,17683,DP2
SS,10509,DP2
SS,17016,DPZ
SS,17929,DPZ
SS,10867,DPZ
SS,10406,DPZ
SS,10705,DP1
SS,10800,DP2
SS,10199,DPZ
SS,15255,DP2
SS,10277,DP1
SS,17544,DPZ
SS,18157,DP2
SS,18352,DPZ
SS,16870,DP2
SS,09574,DP2
SS,10197,DP2
SS,18596,DP2
SS,10845,DPZ
SS,10294,DP1
SS,18462,DP1
SS,09268,DPZ
SS,14578,DP1
SS,20193,DP2
SS,10935,DP2
SS,09332,DP2
SS,10898,DP1
SS,10890,DPZ
SS,14764,DPZ
SS,07111,DP2
SS,15350,DP2
SS,16793,DP2
SS,17878,DP2
SS,10495,DP1
SS,10177,DP1
SS,10177,DPZ
SS,09268,DP1
SS,14712,DPZ
SS,18843,DP2
SS,14712,DP2
SS,09529,DP1
SS,10215,DP2
SS,05322,DP2
SS,18411,DPZ
SS,16415,DPZ
SS,17859,DP2
SS,14972,DPZ
SS,05179,DP1
SS,15007,DP1
SS,17929,DP2
SS,18352,DPZ
SS,18365,DPZ
SS,07499,DPZ
SS,17929,DPZ
SS,18638,DP1
SS,06585,DP1
SS,16006,DP1
SS,05230,DP2
SS,09218,DP1
SS,09228,DPZ
SS,15016,DPZ
SS,10199,DP2
SS,14599,DPZ
SS,10495,DP2
SS,10222,DP1
SS,14972,DPZ
SS,16788,DP2
SS,10421,DP2
SS,17542,DP1
SS,10368,DPZ
SS,10406,DPZ
SS,10776,DP2
SS,17892,DPZ
SS,14578,DPZ
SS,14411,DP1
SS,10454,DPZ
SS,10485,DPZ
SS,16598,DPZ
SS,17892,DP1
SS,10409,DPZ
SS,17723,DP1
SS,17544,DP2
SS,16415,DPZ
SS,10898,DPZ
SS,17273,DPZ
SS,09769,DP2
SS,09629,DP2
SS,09270,DP2
SS,16490,DP1
SS,14565,DP1
SS,10485,DP2
SS,10899,DP2
SS,18411,DP2
SS,18739,DPZ
SS,17683,DP2
SS,14837,DP2
SS,15907,DPZ
SS,09431,DP1
SS,15869,DPZ
SS,10753,DP1
SS,10857,DP1
SS,17859,DP1
SS,10524,DP2
SS,10891,DP2
SS,16507,DP1
SS,15427,DP1
SS,18895,DP2
SS,15907,DPZ
SS,05038,DPZ
SS,15562,DP2
SS,10813,DP2
SS,17016,DPZ
SS,15248,DP2
SS,10893,DPZ
SS,17929,DPZ
SS,10872,DP2
SS,10278,DP2
SS,10373,DP2
SS,17723,DPZ
SS,10867,DPZ
SS,15350,DP1
SS,10205,DP2
SS,17929,DP1
SS,14605,DP2
SS,17373,DP1
SS,18536,DPZ
SS,18839,DP2
SS,17455,DPZ
SS,09529,DP1
SS,08936,DP1
SS,14537,DP2
